pdf_link,pdf_year,row_id,Receiver,From,Justification,Gift,Disposition,Gift_Rec_Date,Value_USD
http://www.state.gov/documents/organization/263401.pdf,2015,8.74,"The Honorable Barack Obama, President of the United States.","YAB Dato’ Sri Najib bin Tun Abdul Razak, Prime Minister of Malaysia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,6″ pewter tankard with lid. Miniature silver gong suspended by chains from two curved arms with striking mallet and stand. Leather briefcase set including black document bag with handle and combination lock. 2016 daily planner,National Archives and Records Administration.,2015-11-21,520.00
http://www.state.gov/documents/organization/263401.pdf,2015,8.75,"The Honorable Barack Obama, President of the United States.","His Majesty Sultan Haji Hassanal Bolkiah Mu’izzaddin Waddaulah, Sultan and Yang Di-Pertuan of Brunei Darussalem.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Food basket of handmade glass with blue tint. Assorted food products. Three candles. 17.5″ x 17.5″ wooden serving board with two holes on the end. Two 3.5″ small metal serving bowls. 8″ x 10″ silver-tone picture frame. Gas-powered wine system. Ten argon gas canisters. 20″ x 12″ x 12″ navy trunk,"National Archives and Records Administration. Food, candles, and gas canisters handled pursuant to United States Secret Service policy.",2015-12-01,"1,636.71"
http://www.state.gov/documents/organization/263401.pdf,2015,8.76,"The Honorable Barack Obama, President of the United States.",Government of the Republic of Cuba.,Non-acceptance would cause embarrassment to donor and U.S. Government.,Seven boxes of cigars,Handled pursuant to United States Secret Service policy.,2015-12-09,"4,158.00"
http://www.state.gov/documents/organization/263401.pdf,2015,8.77,"The Honorable Barack Obama, President of the United States.","His Excellency Jalil Abbas Jilani, Ambassador of the Islamic Republic of Pakistan to the United States.",Non-acceptance would cause embarrassment to donor and U.S. Government.,29″ x 24″ framed and matted painting of President Obama decorated with floral and animal design,National Archives and Records Administration.,2015-12-27,460.00
http://www.state.gov/documents/organization/263401.pdf,2015,8.78,"The Honorable Barack Obama, President of the United States, and Mrs. Michelle Obama.","His Excellency Enrique Peña Nieto, President of the United Mexican States.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"4″ x 4″ Tree of Life clay figurine including members of the First Family. 4″ x 4″ President Barack Obama’s Tree of Life clay figurine. 2″ x 2″ Tree of Life clay figurine including the White House and staff members. Magnifying glass. Golf ball and baseball cap signed by Mexican professional golfer. Book, title: Tribute to Lorena Ochoa",National Archives and Records Administration.,2015-01-05,"2,950.00"
http://www.state.gov/documents/organization/263401.pdf,2015,9.83,"The Honorable Barack Obama, President of the United States, and Mrs. Michelle Obama.","His Excellency Kadyr Toktogulov, Ambassador of the Kyrgyz Republic to the United States.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Two brown leather cell phone sleeves. Two tablet computer sleeves. Laptop computer sleeve. Silk tapestry in red, blue, and brown. Handmade scarf",National Archives and Records Administration.,2015-02-20,510.00
http://www.state.gov/documents/organization/263401.pdf,2015,9.84,"The Honorable Barack Obama, President of the United States, and Mrs. Michelle Obama.","His Excellency Raúl Castro Ruz, President of the Republic of Cuba.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Ten CDs of Cuban music with CD rack. Long-sleeved button down linen Guyaybera shirt. Four bottles of spirits. Box of cigars with lighter. Wooden humidor. Four bottles of floral fragrances,"National Archives and Records Administration. Liquids, cigars, lighter, and humidor handled pursuant to United States Secret Service policy.",2015-04-11,"1,193.57"
http://www.state.gov/documents/organization/263401.pdf,2015,9.85,"The Honorable Barack Obama, President of the United States, and Mrs. Michelle Obama.","His Majesty Felipe VI, King of Spain.",Non-acceptance would cause embarrassment to donor and U.S. Government.,12″ x 10″ signed photograph of the King and Queen of Spain in a silver frame,National Archives and Records Administration.,2015-09-15,"1,100.00"
http://www.state.gov/documents/organization/263401.pdf,2015,9.86,"The Honorable Barack Obama, President of the United States, and Mrs. Michelle Obama.",His Royal Highness Prince Henry of Wales.,Non-acceptance would cause embarrassment to donor and U.S. Government.,12″ x 10″ signed and framed photograph of Prince Henry of Wales,National Archives and Records Administration.,2015-10-28,450.00
http://www.state.gov/documents/organization/263401.pdf,2015,9.87,"Mrs. Michelle Obama, First Lady of the United States.","His Majesty Mohammed VI, King of Morocco.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Assorted chocolates in presentation basket,Perishable items handled pursuant to United States Secret Service Policy.,2015-01-20,842.00
http://www.state.gov/documents/organization/263401.pdf,2015,9.88,"Mrs. Michelle Obama, First Lady of the United States.","His Excellency Narendra Modi, Prime Minister of the Republic of India.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Hand-embroidered Shahmina shawl. Hand-carved wooden Jali box. Assorted Indian tea,National Archives and Records Administration. Tea handled pursuant to United States Secret Service policy.,2015-01-24,662.00
http://www.state.gov/documents/organization/263401.pdf,2015,9.89,"Mrs. Michelle Obama, First Lady of the United States.","His Excellency Pranab Mukherjee, President of the Republic of India.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Pashmina Shawl with hand-embroidery. Specially commissioned tea set, including pot, six cups, six saucers, milk pitcher, and sugar jar",National Archives and Records Administration.,2015-01-26,900.00
http://www.state.gov/documents/organization/263401.pdf,2015,9.9,"Mrs. Michelle Obama, First Lady of the United States.","Her Excellency Ellen Johnson Sirleaf, President of the Republic of Liberia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Quilt, hand-made from yellow and blue cotton fabric",National Archives and Records Administration.,2015-02-27,450.00
http://www.state.gov/documents/organization/263401.pdf,2015,10.95,"Mrs. Michelle Obama, First Lady of the United States.","Ms. Mu Sochua, Member of Parliament of the Kingdom of Cambodia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,4″ x 6″ framed drawing of President Obama in blue ink. 5″ x 7″ framed drawing of First Lady Michelle Obama in blue ink. Silk scarf with tassels,National Archives and Records Administration.,2015-03-18,390.00
http://www.state.gov/documents/organization/263401.pdf,2015,10.96,"Mrs. Michelle Obama, First Lady of the United States.","Mrs. Akie Abe, Spouse of the Prime Minister of Japan.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Necklace of pearls and gold links. 14.5″ x 10.5″ plate of bone china, oval shape, with handpainted image of Bo and Sunny",National Archives and Records Administration.,2015-03-19,"2,260.00"
http://www.state.gov/documents/organization/263401.pdf,2015,10.97,"Mrs. Michelle Obama, First Lady of the United States.","Mrs. Akie Abe, Spouse of the Prime Minister of Japan.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Clutch purse in graphite swirl pattern. Aluminum chrysanthemum ornament. Pet accessories set including tray, two collars, and two collar bells, made of beige leather and green thatching",National Archives and Records Administration.,2015-04-27,413.00
http://www.state.gov/documents/organization/263401.pdf,2015,10.98,"Mrs. Michelle Obama, First Lady of the United States.","His Highness Sheikh Sabah AlAhmed Al-Jaber Al-Sabah, Amir of the State of Kuwait.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Commemorative coin from the 5th Anniversary of the Proclamation of His Highness Sheikh Sabah Al-Ahmed Al-Jaber Al-Sabah as the Emir of Kuwait (2006– 2011). Leather greeting card with gold lettering. Black box with gold trim. Black robe with golden embroidery. Pink robe with golden embroidery. Case of six small gold-plated silver coins issued by the Central Bank of Kuwait,National Archives and Records Administration.,2015-05-14,"3,550.00"
http://www.state.gov/documents/organization/263401.pdf,2015,10.99,"Mrs. Michelle Obama, First Lady of the United States.","His Highness Sheikh Tamim bin Hamad Al Thani, Emir of the State of Qatar.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Six porcelain plates with handpainted designs of birds, butterflies, and flowers, applied with polished 24-carat gold",National Archives and Records Administration.,2015-05-14,"6,900.00"
http://www.state.gov/documents/organization/263401.pdf,2015,11.0,"Mrs. Michelle Obama, First Lady of the United States.","His Majesty King Willem-Alexander, King of the Netherlands.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Personalized bicycle made of black metal with bell,National Archives and Records Administration.,2015-05-31,975.00
http://www.state.gov/documents/organization/263401.pdf,2015,11.01,"Mrs. Michelle Obama, First Lady of the United States.","His Excellency Matteo Renzi, President of the Council of Ministers of the Italian Republic.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Sterling silver flower dish,National Archives and Records Administration.,2015-06-17,650.00
http://www.state.gov/documents/organization/263401.pdf,2015,12.06,"Mrs. Michelle Obama, First Lady of the United States.","His Excellency Xi Jinping, President of the People’s Republic of China.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"18″ two-sided Suzshou embroidery depicting two giant pandas, a mother and her cub, in a circular wooden frame. Antique porcelain jewelry set including a pair of earrings, a ring, a bracelet, and a pendant",National Archives and Records Administration.,2015-09-25,654.00
http://www.state.gov/documents/organization/263401.pdf,2015,12.07,"Mrs. Michelle Obama, First Lady of the United States.",Her Majesty Raja Isteri Pengiran Anak Haja Saleha of Brunei Darussalam.,Non-acceptance would cause embarrassment to donor and U.S. Government.,"Silver jewelry set of rubies and diamonds, including a necklace with teardrop pendant, a ring, two teardrop earrings, and a bracelet",National Archives and Records Administration.,2015-09-30,"73,200.00"
http://www.state.gov/documents/organization/263401.pdf,2015,12.08,"Mrs. Michelle Obama, First Lady of the United States.","His Excellency Joachim Guack, President of the Federal Republic of Germany.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Red ox leather bag,National Archives and Records Administration.,2015-10-06,600.10
http://www.state.gov/documents/organization/263401.pdf,2015,12.09,"Mrs. Michelle Obama, First Lady of the United States.","Mrs. Sia Koroma, First Lady of the Republic of Sierra Leone.",Non-acceptance would cause embarrassment to donor and U.S. Government.,45″ painting of a young African girl surrounded by musical instruments on Sierra Leoneshaped wood,National Archives and Records Administration.,2015-10-22,780.00
http://www.state.gov/documents/organization/263401.pdf,2015,12.1,"Mrs. Michelle Obama, First Lady of the United States.","His Excellency Joko Widodo, President of the Republic of Indonesia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,6″ x 6″ x 3″ music box of light brown wood and a hinged top with a decorative brass plate. Jewelry set of silver and orange onyx including round earrings with a centered stone and a 16″ necklace of gemstone and silver beads. 88″ x 34″ silk scarf,National Archives and Records Administration.,2015-10-26,521.41
http://www.state.gov/documents/organization/263401.pdf,2015,12.11,"Mrs. Michelle Obama, First Lady of the United States.",Her Highness Sheikha Moza bint Nasser Al Missned of the State of Qatar.,Non-acceptance would cause embarrassment to donor and U.S. Government.,Polished music box of light and dark-colored indigenous wood,National Archives and Records Administration.,2015-11-02,"17,720.00"
