iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,mn_sat,tuition,race,imprace,imprelig,zipcode,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,length,numdat_2,attr7_2,sinc7_2,intel7_2,fun7_2,amb7_2,shar7_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,you_call,them_cal,date_3,numdat_3,num_in_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3
271,20,0,39,2,11,21,16,16,20,9,281,0,0.23,1,27,2,20,20,20,15,5,20,0,5,6,7,4,6,2,4,2,2,23,11,"1,330.00","27,076.00",2,10,9,"10,543","50,060.00",2,4,1,11,8,7,10,9,10,10,5,5,6,7,7,9,9,9,8,9,5,8,,10,15,40,15,10,10,30,10,30,10,10,10,30,10,30,10,10,10,9,10,10,9,10,9,10,9,10,10,0,4,5,6,3,4,4,5,4,0,2,15,15,30,10,20,10,9,10,9,10,10,6,3,2,,,,,,,15,10,40,15,10,10,40,10,15,15,10,10,40,10,15,15,10,10,9,10,9,10,10,9,10,9,10,10,0,1,0,,,15,10,40,15,10,10,20,15,30,15,10,10,40,10,10,15,10,15,40,10,10,15,10,15,9,9,9,10,9,8,9,9,9,8
414,18,1,36,2,15,18,5,12,12,3,381,1,-0.32,1,24,2,20,10,20,35,5,10,1,7,8,6,6,7,5,7,5,2,29,8,"1,460.00","27,230.00",2,2,10,"10,021","55,080.00",6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,,95,1,1,1,1,1,15,15,15,15,15,25,95,1,1,1,1,1,,,,,,,,,,,1,10,9,9,9,9,6,8,4,2,2,95,1,1,1,1,1,8,10,8,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3,1,6,2,2,19,15,,2,10,30,0,0.46,0,23,2,10,20,20,20,20,10,0,6,7,8,7,8,7,8,6,2,23,5,,,4,1,6,"94,133","28,891.00",2,7,4,5,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1,6,3,20,25,20,15,10,10,,,,,,,25,10,10,30,5,20,6,9,6,8,4,,,,,,0,4,7,7,6,6,,6,2,2,1,,,,,,,,,,,,8,3,3,,,,,,,30,30,10,15,10,5,,,,,,,,,,,,,7,9,8,6,6,,,,,,0,0,0,,,15,30,15,15,10,15,,,,,,,,,,,,,,,,,,,7,9,8,7,6,,,,,
361,1,1,2,2,14,20,16,16,13,8,348,0,0.63,0,21,4,15,25,15,15,15,15,1,8,10,10,7,10,6,4,3,2,34,1,"1,430.00","26,908.00",2,5,5,"10,469","35,187.00",2,6,6,1,3,1,3,5,9,10,3,3,4,10,6,8,9,7,7,3,2,5,,30,20,30,5,5,10,30,20,10,10,0,10,30,10,20,5,30,5,7,7,5,7,9,7,7,7,3,3,0,7,7,8,8,9,8,7.5,6,0,4,,,,,,,,,,,,7,3,3,,,,,,,20,10,30,10,10,20,30,20,20,10,10,20,30,20,10,10,10,20,8,8,9,6,8,7,8,9,6,8,1,1,0,,,20,10,30,15,15,10,20,10,30,15,15,10,20,10,20,20,10,20,20,10,20,20,10,20,5,7,8,8,8,5,7,8,8,8
473,8,0,15,2,19,15,9,10,4,10,490,0,0.91,0,29,2,30,15,20,10,10,15,0,7,6,8,5,7,4,5,5,2,34,10,,,4,1,1,"10,086",,2,6,4,2,7,5,5,8,8,8,8,6,6,9,8,8,9,9,9,7,7,7,,15,20,20,15,15,15,20,15,15,20,15,15,20,20,15,15,15,15,7,9,8,10,7,8,9,9,8,8,1,8,8,10,10,9,9,8,6,0,3,8,9,9,9,9,8,8,9,9,8,8,9,3,3,15,15,20,20,15,15,15,20,20,15,15,15,20,15,15,20,15,15,20,15,15,20,15,15,8,8,8,7,7,7,8,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,1,0,1,2,21,22,21,21,20,3,533,0,0.37,0,26,2,25,25,25,13,12,0,0,6,,7,5,5,6,5,5,2,28,6,"1,340.00","25,380.00",4,2,2,"10,594",,2,4,2,16,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,6,,10,20,30,10,10,20,50,10,10,10,10,10,50,10,10,10,10,10,5,6,4,8,9,5,6,8,3,9,0,2,2,2,2,3,2,0,0,0,0,,,,,,,,,,,,5,1,2,30,20,10,20,5,5,10,20,10,20,10,30,50,10,10,20,5,5,70,5,5,10,5,5,3,3,7,2,7,3,3,8,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,1,0,1,2,19,15,3,3,4,1,481,0,0.7,1,23,2,25,20,15,20,5,15,0,5,7,7,6,6,4,6,5,2,24,18,"1,330.00","2,406.00",2,1,1,"77,077","42,967.00",6,7,1,10,4,2,9,8,5,6,4,3,2,8,5,5,7,6,8,4,2,5,,10,20,20,15,20,15,25,15,15,20,10,15,45,5,15,15,10,10,7,9,7,8,8,7,9,8,7,7,0,5,7,5.5,4,4,3,4,5,0,0,7,7,8,8,9,9,7,7,7,7,8,2,1,2,40,5,5,5,5,40,25,15,15,15,10,30,20,15,15,15,10,25,30,10,10,15,10,25,7,7,7,7,7,7,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,5,0,9,1,16,8,3,3,7,3,424,1,-0.09,0,24,4,17,16,17,17,17,16,1,7,7,7,8,8,7,7,6,2,22,11,"1,360.00","24,497.00",2,1,1,"47,920","31,486.00",5,4,2,11,8,4,5,10,8,8,7,4,3,9,7,8,7,4,5,6,4,5,,10,10,40,10,15,15,25,10,10,15,25,15,35,5,15,25,5,15,8,9,7,10,7,8,8,10,9,9,1,8,9,9,8,9,7,8,7,2,2,10,10,40,15,10,15,8,9,10,8,9,8,3,3,15,20,30,10,15,10,10,15,40,10,10,15,25,15,10,15,20,15,30,10,15,25,10,10,8,9,10,8,9,8,10,9,7,9,0,2,1,1,,10,20,25,15,15,15,25,15,15,10,15,20,25,15,15,20,15,10,30,10,15,20,10,15,9,10,10,8,8,8,10,10,8,9
305,13,0,24,2,12,14,1,1,6,4,311,0,0.03,1,29,4,50,20,10,10,5,5,0,5,7,6,5,6,7,6,10,2,29,9,,,4,6,9,,,1,4,1,2,8,2,7,10,7,7,8,2,7,8,7,8,9,7,7,9,8,4,,10,47,16,12,3,12,30,16,14,20,8,12,35,15,8,20,2,20,7,9,8,9,5,7,9,9,8,7,1,9,8,8,6,6,7,8,7,0,5,,,,,,,,,,,,6,1,2,,,,,,,9,30,19,19,3,20,12,30,19,21,10,8,30,20,5,25,2,18,7,9,8,7,3,7,8,8,7,7,0,1,1,1,,9,30,19,19,3,20,9,30,19,19,3,20,30,15,10,20,5,20,35,15,7,20,4,19,8,9,8,7,3,8,9,9,7,7
88,13,0,25,2,4,18,8,,7,9,102,0,0.26,1,32,2,30,10,30,20,10,0,0,5,5,6,6,7,5,5,6,2,23,11,,,2,8,7,"10,514","109,031.00",1,4,4,9,8,7,10,7,7,7,8,6,6,10,8,9,10,8,10,9,3,5,10,15,15,20,15,20,15,,,,,,,15,15,20,15,20,15,9,9,9,9,9,,,,,,0,2,10,10,1,10,1,2,4,2,1,,,,,,,,,,,,2,3,3,,,,,,,20,20,15,15,10,20,,,,,,,,,,,,,9,10,10,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,10,0,19,2,11,21,3,3,3,5,277,1,0.13,0,25,2,60,20,0,20,0,0,1,6,7,7,7,,7,7,2,1,26,10,"1,400.00","27,395.00",4,1,4,"10,536","77,112.00",1,7,2,2,6,4,3,9,9,8,3,5,8,9,2,9,9,9,9,4,6,3,,15,20,20,20,15,10,30,15,15,20,10,10,45,10,10,20,5,10,5,8,7,7,8,5,8,8,6,9,1,8,8,8,8,7,6,8,7,0,4,25,10,20,20,5,20,5,8,8,7,8,3,1,3,,,,,,,30,20,20,15,10,5,50,15,10,10,5,10,50,10,10,15,5,10,5,8,8,7,8,5,7,8,7,7,0,2,0,2,,25,30,25,5,10,5,20,30,20,10,15,5,45,20,10,10,5,10,40,10,10,25,5,10,6,8,8,7,8,6,8,8,5,7
264,13,0,25,2,11,21,15,15,13,18,290,0,0.41,1,34,2,30,10,30,10,5,15,0,3,5,7,5,7,4,3,2,2,26,6,"1,430.00","26,908.00",2,1,3,"20,011","31,432.00",1,6,2,2,7,1,7,5,7,8,6,1,5,9,7,4,8,2,6,2,1,3,,15,15,25,20,5,20,30,10,10,20,15,15,30,10,10,20,10,20,8,7,8,9,5,8,7,9,8,6,0,5,6,7,7,7,5,6,4,0,2,20,15,25,20,10,15,8,8,9,8,6,5,3,3,,,,,,,15,20,25,20,10,25,25,20,15,20,20,20,21.74,13.04,17.39,17.39,13.04,17.39,7,8,8,9,7,7,8,7,9,6,0,4,1,3,1,15,20,25,20,10,10,25,15,25,20,10,15,25,20,20,20,15,20,25,15,20,25,15,20,8,7,9,8,7,8,8,8,8,6
103,10,1,20,2,4,18,14,,10,5,80,0,0.38,0,27,4,10,20,20,10,20,20,1,7,8,8,8,8,8,7,7,2,26,8,,,2,8,9,"60,089","55,550.00",2,4,1,7,8,7,8,8,6,4,8,5,8,8,8,5,8,8,8,6,3,6,5,40,5,20,10,10,15,,,,,,,40,5,10,20,15,10,8,8,8,9,9,,,,,,0,7,8,8,6,7,6,6,5,2,3,,,,,,,,,,,,7,3,3,,,,,,,50,5,20,10,5,10,,,,,,,,,,,,,8,8,9,8,9,,,,,,1,0,0,,,40,10,20,10,10,10,,,,,,,,,,,,,,,,,,,8,8,9,8,9,,,,,
434,5,0,9,2,17,14,4,4,14,3,442,0,0.35,1,25,2,40,10,0,45,0,5,1,6,6,5,4,4,2,6,4,2,27,11,"1,290.00","25,335.00",2,2,2,"20,816","81,266.00",1,4,2,15,4,2,9,6,3,3,3,2,7,2,6,2,2,4,7,8,4,3,,30,15,15,30,0,10,30,20,10,20,10,10,40,10,10,25,0,15,7,7,8,6,4,8,7,7,8,4,0,7,6,7,5,8,5,5,8,2,1,40,10,20,10,5,15,8,9,8,9,7,6,3,2,60,10,10,10,5,5,40,10,20,15,5,10,30,20,20,10,10,10,40,5,10,20,0,25,8,8,8,8,7,7,8,8,8,7,1,1,1,1,,50,5,20,10,5,10,70,0,10,10,0,10,40,20,10,10,5,15,60,0,15,10,0,15,8,8,8,8,7,7,9,9,9,7
212,19,0,37,2,9,20,10,10,15,3,216,0,0.11,0,27,2,7.5,17.5,20,22.5,12.5,20,1,9,8,9,9,9,9,7,6,2,27,8,,,3,3,6,"11,364","45,695.00",1,5,2,7,8,5,8,8,8,8,8,6,9,8,8,8,8,6,7,8,3,5,,14.29,18.37,18.37,16.33,18.37,14.29,9,6,6,9,6,6,22.5,15,15,22.5,12.5,12.5,7,9,7,8,9,,,,,,0,6,7,8,7,8,7,6,6,2,7,17.07,19.51,19.51,9.76,17.07,17.07,7,8,7,7,8,7,1,2,,,,,,,14.89,19.15,19.15,14.89,17.02,14.89,8,6,6,8,6,6,20.51,15.38,15.38,20.51,15.38,12.82,7,8,7,7,8,,,,,,0,4,1,3,,15.22,17.39,17.39,17.39,17.39,15.22,,,,,,,8,7,6,8,6,6,8,6,6,8,6,,7,8,8,7,8,,,,,
215,2,1,4,2,9,20,7,3,5,18,211,0,0.23,0,28,2,16.36,16.36,18.18,18.18,16.36,14.55,0,4,7,8,5,10,7,5,5,2,26,8,,,4,3,1,"21,093","53,501.00",1,4,1,7,8,6,9,9,6,4,2,7,6,9,5,2,9,2,7,9,2,7,,14.89,19.15,21.28,19.15,14.89,10.64,10,9,6,10,3,8,11.63,23.26,16.28,20.93,11.63,16.28,7,8,9,9,9,,,,,,1,7,7,8,4,6,6,5,3,2,,15.56,17.78,20,20,15.56,11.11,7,9,9,8,9,6,1,2,,,,,,,17.39,15.22,19.57,19.57,15.22,13.04,10,6,5,10,4,8,12.77,17.02,19.15,19.15,14.89,17.02,7,7,9,8,9,,,,,,3,0,0,,,14.58,14.58,18.75,18.75,18.75,14.58,,,,,,,9,7,6,9,4,8,6,7,8,9,8,,7,6,9,8,9,,,,,
31,11,0,21,2,2,16,8,,4,16,55,1,-0.32,0,23,1,20,25,25,10,10,10,1,8,10,10,10,10,8,10,10,1,24,1,,,2,4,8,"13,413","36,485.00",1,4,3,1,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6,5,4,35,10,20,20,10,5,,,,,,,40,10,10,25,5,10,8,8,9,8,9,,,,,,1,9,8,7,10,9,8,8.5,9,1,3,,,,,,,,,,,,4,1,1,,,,,,,50,5,5,25,5,10,,,,,,,,,,,,,8,6,8,8,8,,,,,,0,1,0,,,35,5,20,20,15,5,,,,,,,,,,,,,,,,,,,8,6,8,8,9,,,,,
288,16,1,32,2,11,21,7,7,17,5,256,0,-0.22,0,24,4,15,25,20,20,10,10,0,6,7,7,6,5,5,6,6,2,27,3,"1,380.00","25,552.00",2,3,5,"21,044","53,196.00",1,6,3,2,9,5,3,8,5,5,6,4,4,9,2,6,7,5,7,2,2,5,,20,20,15,25,10,10,40,5,10,20,5,20,30,20,5,25,10,10,5,8,7,8,7,5,8,7,6,6,1,6,6,6,6,5,5,6,3,0,1,35,15,20,20,5,5,4,7,5,4,7,4,1,2,,,,,,,30,20,15,30,5,0,40,15,15,30,0,0,33.33,11.11,5.56,33.33,16.67,0,5,7,7,5,7,5,7,7,4,7,0,4,1,2,,30,20,20,20,5,5,30,20,20,30,0,0,40,10,20,20,5,5,30,10,20,10,20,10,6,8,7,7,7,6,7,6,6,7
348,8,0,15,2,14,18,16,16,13,11,371,0,-0.38,0,27,2,40,0,10,50,0,0,0,3,8,7,6,7,5,6,9,2,21,9,"1,157.00","15,260.00",4,3,3,"92,683","41,778.00",2,6,1,2,3,5,1,10,10,10,2,1,9,10,7,10,7,7,7,10,5,5,,15,25,15,15,15,15,25,15,15,15,15,15,25,15,15,15,15,15,6,10,10,10,10,5,8,8,8,8,1,10,9,9,8,8,5,5,3,0,3,,,,,,,,,,,,6,1,2,,,,,,,10,20,20,10,20,20,10,20,20,10,20,20,10,20,20,10,20,20,7,7,7,7,7,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,4,0,7,2,7,16,14,14,4,6,163,0,0.39,1,26,2,12,20,20,20,16,12,0,6,7,6,8,5,3,5,3,2,24,10,,,2,9,7,"55,379","38,774.00",2,7,1,2,2,1,2,9,9,5,2,2,1,8,10,10,10,5,8,9,2,5,,11.36,18.18,22.73,18.18,11.36,18.18,9,8,9,8,9,9,22.22,13.33,17.78,20,8.89,17.78,5,5,7,9,7,,,,,,1,9,9,8,7,9,7,9,5,0,2,14,20,20,18,14,14,7,8,10,7,7,5,3,3,,,,,,,15.69,17.65,19.61,15.69,15.69,15.69,8,8,8,9,9,8,20.41,14.29,16.33,18.37,14.29,16.33,7,7,9,7,8,,,,,,0,0,0,,,15.09,16.98,18.87,16.98,15.09,16.98,,,,,,,9,8,7,8,9,9,10,7,8,9,7,,6,6,9,7,8,,,,,
349,9,0,17,2,14,18,7,7,16,2,362,1,0.08,1,30,2,20.51,14.53,24.79,17.09,5.98,17.09,1,8,8,8,9,8,8,8,,,33,3,"1,180.00","18,720.00",2,1,7,"66,614","35,963.00",1,4,2,7,2,3,10,8,7,8,7,1,6,7,4,8,8,8,9,6,7,6,,25,20,10,20,20,5,15,20,20,10,25,10,50,5,20,30,5,0,7,8,8,9,7,8,7,8,9,9,1,4,7,9,7,8,8,8,8,0,5,,,,,,,,,,,,4,3,2,,,,,,,27,15,15,23,10,10,15,15,15,15,20,20,30,15,15,25,5,10,8,9,9,8,7,8,4,5,7,4,0,3,1,1,,25,15,10,20,20,10,30,20,5,20,5,20,15,15,10,20,20,20,35,15,10,20,5,15,8,8,9,8,7,9,5,6,8,7
151,10,0,19,2,7,16,6,6,4,3,160,0,0.08,0,29,1,16,18,18,18,14,16,1,8,8,,8,7,8,8,7,2,28,13,,,2,1,2,,,3,3,1,9,5,1,8,10,9,8,8,4,1,8,1,9,8,9,10,7,7,3,,14.55,16.36,18.18,18.18,16.36,16.36,8,6,7,8,9,6,23.81,14.29,16.67,19.05,14.29,11.9,9,10,10,10,8,,,,,,0,8,6,8,7,7,6,6,7,0,1,,,,,,,,,,,,5,1,1,,,,,,,15.38,17.31,17.31,17.31,15.38,17.31,8,7,8,9,9,7,22.22,15.56,15.56,17.78,15.56,13.33,9,9,9,9,8,,,,,,2,2,1,2,,15.38,19.23,17.31,19.23,13.46,15.38,,,,,,,7,7,7,8,9,8,9,6,7,9,7,,12,9,9,12,8,,,,,
