number_people,timestamp,day_of_week,is_weekend,is_holiday,apparent_temperature,temperature,is_start_of_semester
30,30610,6,1,0,63,63,0
54,54013,6,1,0,65.8,65.8,1
47,42014,6,1,0,59.35,59.35,0
0,1211,5,1,0,51.67,51.67,0
76,57014,2,0,0,70.23,70.23,1
29,3014,2,0,0,60.24,60.24,0
38,49236,2,0,0,59.7,59.7,0
1,27012,3,0,0,50.69,50.69,0
64,34813,2,0,0,61.76,61.76,0
48,49817,1,0,0,71.91,71.91,0
49,78624,2,0,0,72.4,72.4,0
65,79216,5,1,0,56.24,56.24,0
58,76812,4,0,0,54,54,0
34,43217,6,1,0,57.73,57.73,0
28,60015,5,1,0,65.66,65.66,0
35,35414,6,1,0,63.73,63.73,0
98,57018,4,0,0,58.53,58.53,1
2,1214,5,1,0,55.24,55.24,0
77,75013,3,0,0,64.74,64.74,0
45,30614,0,0,0,59.25,59.25,0
41,38413,3,0,0,64.39,64.39,0
55,79214,4,0,0,55.62,55.62,0
42,44438,4,0,0,56.12,56.12,0
55,55813,1,0,0,52.24,52.24,0
25,34812,2,0,0,47.52,48.28,0
66,81614,4,0,0,59.73,59.73,0
32,34214,1,0,0,59.25,59.25,0
56,41787,0,0,0,58.84,58.84,0
0,85214,1,0,0,44.39,44.39,0
1,26106,5,1,0,61.45,61.45,0
34,85818,6,1,0,55.77,55.77,0
2,84612,5,1,0,65.8,65.8,1
42,67214,1,0,0,56.04,56.04,0
49,72017,3,0,0,61.78,61.78,0
40,34213,4,0,0,55.87,55.87,0
1,19212,2,0,0,57.53,57.53,0
59,69613,3,0,0,56.24,56.24,0
48,82813,4,0,0,62.24,62.24,0
4,21014,3,0,0,61.49,61.49,0
23,50418,5,1,0,54.08,54.08,0
125,60618,2,0,0,56.5,56.5,1
36,62414,1,0,0,57.49,57.49,0
0,3614,6,1,0,55.04,55.04,0
66,43214,1,0,0,81.14,81.14,1
38,25216,2,0,0,62.06,62.06,0
0,26412,5,1,0,66.8,66.8,0
75,73813,0,0,0,64.24,64.24,1
27,84614,6,1,0,56,56,0
49,82811,4,0,0,63.07,63.07,0
19,75022,0,0,0,55.81,55.81,0
43,51622,2,0,0,58.93,58.93,0
2,19816,2,0,0,51.83,51.83,0
51,49213,6,1,0,66.37,66.37,0
17,21,4,0,0,47.24,47.24,0
0,81703,1,0,0,58,58,0
24,27015,4,0,0,52.77,52.77,0
33,46216,6,1,0,53.49,53.49,0
1,21616,4,0,0,53.24,53.24,0
0,85812,0,0,0,58.28,58.28,0
58,73812,4,0,0,58.55,58.55,0
58,73813,5,1,0,70.57,70.57,0
51,42015,1,0,0,55.69,55.69,0
4,23416,1,0,0,51.77,51.77,0
49,73213,4,0,0,53.24,53.24,0
38,84014,1,0,0,56.24,56.24,0
0,2414,5,1,0,56.97,56.97,0
41,2412,0,0,0,63.93,63.93,0
1,19212,1,0,0,51.93,51.93,0
0,1211,6,1,0,62.49,62.49,0
14,49812,6,1,0,42.41,45.93,0
30,37815,2,0,0,58.55,58.55,0
48,43218,1,0,0,57.96,57.96,0
47,63613,6,1,0,58.53,58.53,0
82,64214,0,0,0,50.8,50.8,0
69,62413,2,0,0,65.62,65.62,0
46,39015,2,0,0,55.41,55.41,0
31,28214,1,0,0,62,62,0
76,72015,6,1,0,64.5,64.5,0
22,82812,4,0,0,67,67,0
53,49213,0,0,0,54.72,54.72,0
77,72018,0,0,0,63.7,63.7,0
52,57014,0,0,0,61.42,61.42,0
1,34812,5,1,0,52.69,52.69,0
43,68431,6,1,0,65.01,65.01,0
0,19212,0,0,0,62.53,62.53,0
69,60615,0,0,0,70.21,70.21,0
59,70812,5,1,0,57.73,57.73,0
41,42613,0,0,0,56.22,56.22,0
38,52849,0,0,0,60.67,60.67,0
58,78614,5,1,0,62.55,62.55,0
48,45614,1,0,0,70.04,70.04,0
113,63026,2,0,0,55.78,55.78,1
53,37212,2,0,0,76.63,76.63,0
31,52229,2,0,0,57,57,0
79,81613,3,0,0,63.28,63.28,0
57,73211,4,0,0,53.72,53.72,0
38,39014,1,0,0,55,55,0
87,66613,0,0,0,55.36,55.36,0
45,1812,2,0,0,58.97,58.97,0
1,19214,1,0,0,52.14,52.14,0
25,37213,4,0,0,54.68,54.68,0
21,23415,0,0,0,67.46,67.46,0
37,69614,6,1,0,58.92,58.92,0
41,64817,5,1,0,56.04,56.04,0
68,76812,6,1,0,53.51,53.51,1
39,50415,1,0,0,62.95,62.95,0
0,24013,0,0,0,51.77,51.77,0
15,22812,3,0,0,63.64,63.64,0
67,48012,4,0,0,65.4,65.4,0
38,46838,3,0,0,62,62,0
32,28815,1,0,0,48.76,48.76,0
5,3015,6,1,0,56.56,56.56,0
64,59415,0,0,0,63.91,63.91,0
1,27013,6,1,0,55.03,55.03,0
61,42016,2,0,0,53.04,53.04,1
21,35415,6,1,0,54.74,54.74,0
110,63017,3,0,0,58.7,58.7,1
2,14,0,0,0,43.61,48.51,0
75,67813,2,0,0,54.73,54.73,0
42,49814,0,0,1,68.21,68.21,0
71,45012,5,1,0,69.92,69.92,1
59,74416,3,0,0,61.78,61.78,0
64,71415,4,0,0,66.51,66.51,0
0,2710,5,1,0,63,63,0
64,51612,3,0,0,65.26,65.26,1
57,54015,2,0,0,67.47,67.47,0
2,1812,5,1,0,54.8,54.8,0
68,60015,3,0,0,76.43,76.43,1
69,77414,5,1,0,59.24,59.24,0
52,56415,3,0,0,65.49,65.49,0
42,45014,3,0,0,68.46,68.46,0
78,76812,3,0,0,56.46,56.46,1
0,2415,5,1,0,56,56,0
28,68416,5,1,0,64.76,64.76,0
19,75014,1,0,0,55.81,55.81,0
29,40813,6,1,0,56.08,56.08,0
38,31213,3,0,0,61.28,61.28,0
0,24616,6,1,0,51,51,0
27,30016,4,0,0,59.47,59.47,0
79,56413,4,0,0,64.73,64.73,0
27,54019,0,0,0,70.06,70.06,0
43,30014,0,0,0,55.24,55.24,0
70,48616,3,0,0,59.12,59.12,1
64,70217,0,0,0,58,58,0
2,27612,5,1,0,56.95,56.95,0
52,74413,5,1,0,70.57,70.57,0
35,74415,6,1,0,53.33,53.33,0
79,66612,2,0,0,54.73,54.73,0
0,21011,0,0,0,63.73,63.73,0
32,24013,1,0,0,59.73,59.73,0
23,34213,6,1,0,61.72,61.72,0
56,82818,2,0,0,60.24,60.24,0
46,38413,3,0,0,63.68,63.68,0
19,31216,5,1,0,51.04,51.04,0
76,62412,6,1,0,64.59,64.59,0
63,58812,3,0,0,54.77,54.77,0
30,60013,1,0,0,55.77,55.77,0
36,34815,0,0,0,65.2,65.2,0
53,55213,3,0,0,71.61,71.61,0
39,85213,2,0,0,54.51,54.51,0
49,59413,6,1,0,51.24,51.24,0
39,82813,1,0,0,45.55,47.73,0
87,81012,3,0,0,63.28,63.28,0
43,58815,3,0,0,65.16,65.16,0
38,42616,6,1,0,57.73,57.73,0
0,31212,6,1,0,35.77,40,0
64,66014,3,0,0,59.97,59.97,0
15,24013,2,0,0,51.51,51.51,0
55,64350,3,0,0,58.53,58.53,0
57,41416,2,0,0,59.53,59.53,0
93,78616,2,0,0,64.69,64.69,0
50,63614,5,1,0,54.24,54.24,0
27,31215,4,0,0,51.04,51.04,0
39,49214,2,0,0,61.45,61.45,0
51,52215,4,0,0,58.28,58.28,1
92,74413,0,0,0,64.53,64.53,0
61,80414,5,1,0,59.24,59.24,0
2,32414,1,0,0,46.39,46.39,0
87,70212,4,0,0,62.49,62.49,0
49,44415,0,0,0,57.09,57.09,0
51,74414,0,0,0,50.73,50.73,0
0,24012,5,1,0,55.26,55.26,0
52,45012,1,0,0,60.47,60.47,0
28,28214,1,0,0,63.97,63.97,0
73,55813,5,1,0,65.35,65.35,0
39,70810,6,1,0,74.36,74.36,0
71,57614,3,0,0,67.7,67.7,0
78,68415,4,0,0,63.74,63.74,0
38,82819,5,1,0,52.45,52.45,1
31,68415,6,1,0,58.24,58.24,0
56,66611,6,1,0,78.97,78.97,0
28,31817,0,0,0,52.97,52.97,0
50,55211,0,0,0,69.22,69.22,0
1,27014,5,1,0,55.49,55.49,0
69,80411,2,0,0,63.51,63.51,0
18,60913,5,1,0,63.44,63.44,0
43,1812,2,0,0,56.28,56.28,0
66,44412,6,1,0,72.63,72.63,1
48,60018,4,0,0,51.77,51.77,0
7,24015,3,0,0,53.08,53.08,0
1,19816,3,0,0,60.76,60.76,0
75,68415,0,0,0,55,55,0
14,28827,2,0,0,46.37,50,0
27,84009,2,0,0,64.49,64.49,0
49,59414,5,1,0,58.31,58.31,0
62,52213,5,1,0,56.26,56.26,0
58,48011,0,0,0,69.72,69.72,1
0,19816,1,0,0,59.82,59.82,0
51,39014,6,1,0,62.72,62.72,0
1,24013,2,0,0,51.27,51.27,0
49,30616,0,0,0,53,53,1
1,19812,3,0,0,59.76,59.76,0
35,40811,0,0,0,45.38,45.38,0
63,75615,1,0,0,59.39,59.39,0
35,70214,5,1,0,60.77,60.77,0
27,33612,6,1,0,59.5,59.5,0
31,61217,6,1,0,50.45,50.45,0
27,54906,5,1,0,63.23,63.23,0
0,3019,6,1,0,54,54,0
56,66006,6,1,0,64.49,64.49,0
39,49216,5,1,0,67.61,67.61,0
78,85213,3,0,0,62.24,62.24,0
0,3616,5,1,0,52.77,52.77,0
1,20414,4,0,0,55.77,55.77,0
54,56414,3,0,0,68.76,68.76,0
88,78613,0,0,0,54.36,54.36,0
1,3014,6,1,0,61,61,0
0,78612,5,1,0,50.55,50.55,0
34,32414,0,0,0,51.9,51.9,0
13,25216,2,0,0,50.67,50.67,0
71,71415,0,0,0,51.8,51.8,0
1,21615,6,1,0,61.67,61.67,0
49,56413,2,0,0,60.71,60.71,0
57,73827,2,0,0,60,60,0
48,63616,2,0,0,52.04,52.04,0
38,35409,5,1,0,63.53,63.53,0
0,19813,2,0,0,60.36,60.36,0
36,34816,3,0,0,60,60,0
35,54010,1,0,0,66.91,66.91,0
46,36015,5,1,0,59.43,59.43,0
32,49213,5,1,0,61.55,61.55,0
1,27615,2,0,0,51.67,51.67,0
59,57026,3,0,0,60.42,60.42,0
79,66613,1,0,0,55.77,55.77,1
63,82816,6,1,0,62.04,62.04,0
58,42614,0,0,0,56.54,56.54,0
43,36015,1,0,0,65.04,65.04,0
35,34213,4,0,0,52.54,52.54,0
32,67215,5,1,0,75.62,75.62,0
72,58813,1,0,0,51.28,51.28,0
62,66012,4,0,0,65.8,65.8,1
38,52814,2,0,0,62.35,62.35,0
43,32415,3,0,0,61.97,61.97,0
71,70813,0,0,0,58.76,58.76,0
1,21620,5,1,0,65.32,65.32,0
62,79221,1,0,0,56.33,56.33,0
38,63012,2,0,0,52.24,52.24,0
47,56421,1,0,0,52.12,52.12,0
87,62412,2,0,0,77.38,77.38,0
54,49819,0,0,0,63.66,63.66,0
59,54014,5,1,0,72.15,72.15,1
0,19814,3,0,0,54.47,54.47,0
39,27613,4,0,0,61.8,61.8,0
32,82814,4,0,0,52.03,52.03,0
43,35416,0,0,0,54.04,54.04,0
0,85813,4,0,0,51.28,51.28,0
29,63714,2,0,0,52.24,52.24,0
35,34215,2,0,0,55,55,0
33,31214,1,0,0,50.73,50.73,0
53,52813,5,1,0,64,64,0
62,45014,0,0,1,57.72,57.72,1
0,84613,5,1,0,68.18,68.18,0
0,21014,6,1,0,54.53,54.53,0
1,19815,2,0,0,55.24,55.24,0
55,38414,1,0,0,73.42,73.42,1
64,69705,3,0,0,57.44,57.44,0
19,85210,6,1,0,67.93,67.93,0
53,50415,5,1,0,60.73,60.73,0
10,3018,1,0,0,55.12,55.12,0
54,67210,4,0,0,62,62,0
43,34213,0,0,1,63.24,63.24,0
35,30011,3,0,0,61.45,61.45,0
50,58808,0,0,0,67.99,67.99,0
60,48013,5,1,0,55.97,55.97,1
52,66014,5,1,0,60.3,60.3,0
61,73812,0,0,0,64.73,64.73,0
37,42016,3,0,0,61.65,61.65,0
38,48011,5,1,0,55.63,55.63,0
8,28815,6,1,0,56.97,56.97,0
61,34218,2,0,0,62.76,62.76,0
37,78313,5,1,0,63.53,63.53,0
22,24615,0,0,0,52.22,52.22,0
0,3635,6,1,0,51.76,51.76,0
0,79215,3,0,0,43.3,44.74,0
35,30613,0,0,0,51.64,51.64,0
54,85818,3,0,0,55.51,55.51,0
80,59413,4,0,0,70.39,70.39,0
48,46214,4,0,0,57.08,57.08,0
51,44412,4,0,0,68.07,68.07,0
48,37212,5,1,0,62.42,62.42,0
26,60017,3,0,0,51.53,51.53,0
101,71424,1,0,0,55.24,55.24,1
115,63058,4,0,0,67.01,67.01,1
56,80412,6,1,0,60.28,60.28,0
41,82827,5,1,0,67.77,67.77,1
55,60614,6,1,0,65.8,65.8,1
43,43222,3,0,0,61.95,61.95,0
8,84012,5,1,0,61.01,61.01,0
37,37207,1,0,0,63.19,63.19,0
60,62546,3,0,0,58.53,58.53,0
72,75014,1,0,0,63.73,63.73,0
22,25216,2,0,0,54.45,54.45,0
34,1815,3,0,0,57.49,57.49,0
52,67813,3,0,0,54.05,54.05,0
15,24614,2,0,0,41.26,43.91,0
60,61217,3,0,0,67.19,67.19,0
55,53414,3,0,0,61.54,61.54,0
59,39014,5,1,0,52.72,52.72,0
68,82217,1,0,0,58.05,58.05,0
0,1212,6,1,0,63.22,63.22,0
10,22814,3,0,0,62,62,0
67,81032,2,0,0,63.73,63.73,0
91,64217,4,0,0,54.24,54.24,0
33,26413,4,0,0,52.89,52.89,0
48,45013,4,0,0,68.07,68.07,0
47,46820,3,0,0,63.61,63.61,0
55,72020,6,1,0,54.24,54.24,0
4,81014,4,0,1,44.62,45.8,0
45,66621,5,1,0,55.8,55.8,0
84,84013,2,0,0,61,61,0
41,48015,2,0,0,57.91,57.91,0
61,69616,6,1,0,54.24,54.24,1
61,34211,0,0,0,66.35,66.35,1
39,16,2,0,0,53.51,53.51,0
52,61215,0,0,0,57.72,57.72,0
67,81013,0,0,0,59.7,59.7,0
90,60021,1,0,0,58.81,58.81,1
31,26413,3,0,0,54.93,54.93,0
1,84012,5,1,0,62.53,62.53,0
1,74412,5,1,0,51,51,0
28,34212,4,0,0,52.92,52.92,0
43,52217,1,0,0,69.45,69.45,0
34,39021,5,1,0,61.54,61.54,0
10,28216,5,1,0,54.49,54.49,0
78,79214,3,0,0,65.86,65.86,0
27,66011,5,1,0,49.05,49.05,0
73,67215,1,0,0,70.2,70.2,0
49,56413,2,0,0,62.07,62.07,0
54,67816,5,1,0,57.97,57.97,0
45,53414,0,0,0,61.22,61.22,0
32,55813,2,0,0,63.51,63.51,0
79,63613,3,0,0,76.3,76.3,1
61,44412,4,0,0,63.16,63.16,0
56,37211,1,0,0,60.47,60.47,0
75,74461,1,0,0,54.24,54.24,1
3,20414,2,0,0,60.36,60.36,0
32,30615,0,0,0,51.69,51.69,0
15,27016,1,0,0,55.18,55.18,0
41,59412,0,0,0,58.24,58.24,0
40,31213,6,1,0,65.8,65.8,1
64,75015,1,0,0,57.97,57.97,0
44,35414,4,0,0,61.39,61.39,0
46,52230,3,0,0,60.67,60.67,0
68,63612,6,1,0,58.7,58.7,0
44,49813,5,1,0,60.83,60.83,0
75,73813,1,0,0,65.73,65.73,0
2,84612,5,1,0,55.49,55.49,0
40,52813,5,1,0,57.39,57.39,0
40,44411,5,1,0,55.32,55.32,0
35,37814,5,1,0,59.43,59.43,0
6,21620,3,0,0,47.03,47.97,0
39,39016,1,0,0,51.73,51.73,0
68,79214,0,0,0,59.7,59.7,0
42,45622,1,0,0,58.46,58.46,0
51,34814,1,0,0,60.27,60.27,0
55,72015,4,0,0,58.73,58.73,0
45,1211,4,0,0,63.32,63.32,0
77,75022,0,0,0,64.05,64.05,0
48,31820,1,0,0,68.47,68.47,0
80,41413,5,1,0,67.46,67.46,1
88,82813,1,0,0,52.12,52.12,0
55,49213,2,0,0,67.9,67.9,0
75,66012,6,1,0,64.28,64.28,0
49,39626,2,0,0,58.3,58.3,0
34,66012,5,1,0,48.72,48.72,0
24,44412,6,1,0,53.49,53.49,0
30,44414,5,1,0,55.49,55.49,0
0,3614,1,0,0,42.24,45.06,0
61,75015,1,0,0,59.24,59.24,0
53,58811,6,1,0,83.21,83.21,0
14,82212,4,0,0,51.24,51.24,0
85,76816,1,0,0,54.08,54.08,1
35,44414,0,0,0,58.8,58.8,0
72,81011,0,0,0,63.51,63.51,1
52,56413,5,1,0,55.22,55.22,1
49,82214,4,0,0,61.54,61.54,0
61,57617,3,0,0,60.02,60.02,0
67,58819,5,1,0,55.81,55.81,1
46,80414,2,0,0,60,60,0
21,24615,4,0,0,43.06,47.3,0
40,14,0,0,0,58.45,58.45,0
82,81012,1,0,0,60.49,60.49,0
28,3013,2,0,0,56.28,56.28,0
42,45613,6,1,0,60,60,0
21,82811,5,1,0,62.53,62.53,0
66,39618,3,0,0,63.15,63.15,0
53,49832,2,0,0,62.44,62.44,0
0,23413,6,1,0,52.49,52.49,0
1,26411,3,0,0,43.38,44.78,0
54,64811,2,0,0,69.66,69.66,0
21,30012,0,0,0,51.77,51.77,0
52,56411,5,1,0,66.24,66.24,0
0,3615,4,0,0,55.28,55.28,0
28,58813,1,0,0,57.96,57.96,0
45,60012,6,1,0,57.78,57.78,0
66,67212,2,0,0,61,61,0
6,3623,1,0,0,52.53,52.53,0
26,23413,2,0,0,60.24,60.24,0
37,62412,4,0,1,44.89,46.8,0
46,37214,4,0,0,55.65,55.65,0
52,42615,3,0,0,63.15,63.15,0
40,70212,3,0,0,53.49,53.49,0
49,31214,1,0,0,60.73,60.73,0
53,60014,1,0,0,58.26,58.26,0
36,31814,0,0,0,45.71,47.03,0
44,28237,3,0,0,55,55,0
47,40816,1,0,0,63.39,63.39,0
0,20414,3,0,0,59.97,59.97,0
89,67223,3,0,0,55.28,55.28,0
52,74410,0,0,0,62,62,0
29,34214,6,1,0,57.65,57.65,0
1,13,5,1,0,59.45,59.45,0
6,22813,4,0,0,58.49,58.49,0
49,75678,4,0,0,68.04,68.04,0
29,42618,0,0,0,60.8,60.8,0
1,26411,6,1,0,52.69,52.69,0
70,63032,4,0,0,54.24,54.24,0
53,64224,5,1,0,56.33,56.33,0
42,82816,5,1,0,64.24,64.24,0
39,55215,2,0,0,66,66,0
52,59414,3,0,0,58.27,58.27,0
51,55213,5,1,0,79.04,79.04,0
13,23413,4,0,0,55.05,55.05,0
52,1213,1,0,0,48.17,49.59,0
74,63013,3,0,0,67.19,67.19,0
50,84015,3,0,0,59.53,59.53,0
16,52813,6,1,0,45.99,49.73,0
14,23413,4,0,0,50.78,50.78,0
71,60617,1,0,0,67.02,67.02,1
0,1214,1,0,0,54.51,54.51,0
27,34808,6,1,0,61.8,61.8,0
57,37213,6,1,0,54.18,54.18,1
39,46817,2,0,0,44.23,46.28,0
28,43218,1,0,0,51.77,51.77,0
33,49818,2,0,0,56.89,56.89,0
43,55209,5,1,0,66.24,66.24,0
7,23709,3,0,0,62.28,62.28,0
38,69607,4,0,0,69.97,69.97,0
46,33614,1,0,0,50.8,50.8,1
26,75618,6,1,0,55.93,55.93,0
42,62030,0,0,0,57,57,0
96,61214,1,0,0,60,60,0
45,43217,3,0,0,58.78,58.78,0
37,34816,1,0,0,55.55,55.55,0
1,3013,5,1,0,65.8,65.8,1
39,78008,3,0,0,65.01,65.01,0
52,49835,3,0,0,73.48,73.48,0
62,40812,1,0,0,60.74,60.74,0
32,1812,1,0,0,69.54,69.54,1
17,38416,6,1,0,53.49,53.49,0
58,58812,5,1,0,54,54,0
43,1212,4,0,0,58.56,58.56,1
58,46817,0,0,0,57.66,57.66,0
89,57623,2,0,0,56.5,56.5,1
81,66011,0,0,0,66.8,66.8,0
62,57618,2,0,0,54.26,54.26,0
18,45616,2,0,0,60.43,60.43,0
33,30613,0,0,0,51.2,51.2,0
53,56412,5,1,0,60.46,60.46,0
48,46815,3,0,0,72.78,72.78,0
68,50413,6,1,0,74.92,74.92,1
0,22812,6,1,0,53.05,53.05,0
48,57024,4,0,0,55.97,55.97,0
51,34815,6,1,0,45.15,49.24,1
42,32416,1,0,0,59.31,59.31,0
47,57021,0,0,0,64.51,64.51,0
57,30016,1,0,0,50.78,50.78,1
14,23413,2,0,0,66.02,66.02,0
31,31214,5,1,0,57.18,57.18,0
46,50414,6,1,0,65.75,65.75,0
50,57015,1,0,0,68.05,68.05,0
54,78013,6,1,0,64,64,0
53,22,4,0,0,61.51,61.51,0
23,3016,0,0,0,64.68,64.68,0
41,34821,4,0,0,55.96,55.96,0
30,54015,5,1,0,61.42,61.42,0
71,55812,1,0,0,83.81,83.81,1
39,31216,0,0,0,64.27,64.27,0
55,74413,3,0,0,65.7,65.7,0
60,43217,0,0,0,61.43,61.43,0
44,53414,1,0,0,62.95,62.95,0
5,21617,2,0,0,55.7,55.7,0
46,48617,2,0,0,56.89,56.89,0
59,66013,4,0,0,53.73,53.73,0
35,61218,6,1,0,73.1,73.1,0
46,85215,0,0,0,54.43,54.43,0
89,63018,2,0,0,54.8,54.8,0
56,40820,1,0,0,51.56,51.56,0
5,21614,2,0,0,56.28,56.28,0
24,1212,0,0,0,52.28,52.28,1
46,68419,3,0,0,50.57,50.57,0
32,34215,3,0,0,60,60,0
56,60020,0,0,0,63.91,63.91,0
42,35413,3,0,0,61.97,61.97,0
1,20,1,0,0,54.51,54.51,0
9,23413,2,0,0,41.26,43.91,0
5,28814,6,1,0,47.31,48.51,0
41,67821,0,0,0,55.72,55.72,0
5,21617,0,0,0,55.33,55.33,0
56,71416,6,1,0,56.55,56.55,0
27,50417,1,0,0,58.59,58.59,0
74,73213,0,0,0,54.8,54.8,0
8,84014,4,0,0,61.54,61.54,0
3,85212,5,1,0,56,56,0
15,30612,6,1,0,62.93,62.93,0
18,23414,4,0,0,52.77,52.77,0
34,73213,5,1,0,56.04,56.04,0
31,57013,1,0,0,56.77,56.77,0
32,32416,2,0,0,54.51,54.51,0
36,43218,5,1,0,76.95,76.95,0
63,84614,3,0,0,54.51,54.51,0
0,68413,4,0,0,46.86,47.76,0
52,46818,1,0,0,59.87,59.87,0
47,39010,4,0,0,61.96,61.96,0
60,70816,1,0,0,64,64,0
61,81614,6,1,0,60.28,60.28,0
40,31815,5,1,0,61.2,61.2,0
50,39017,2,0,0,57.31,57.31,0
21,30615,2,0,0,54.64,54.64,0
26,32420,4,0,0,49.04,49.04,0
95,71413,3,0,0,64.77,64.77,0
39,53503,2,0,0,58.4,58.4,0
66,39019,2,0,0,52.77,52.77,1
52,31218,0,0,0,53,53,1
45,43266,6,1,0,56.97,56.97,0
53,46817,0,0,0,62.45,62.45,0
33,1815,4,0,0,61.51,61.51,0
94,66615,1,0,0,56.24,56.24,1
16,24616,3,0,0,58.73,58.73,0
39,70816,5,1,0,58.24,58.24,0
28,41412,5,1,0,64.32,64.32,0
60,44413,2,0,0,50.97,50.97,0
50,81013,4,0,0,60.73,60.73,0
114,64261,4,0,0,67.01,67.01,1
15,22811,3,0,0,64.04,64.04,1
7,28814,5,1,0,47.58,49.04,0
5,21013,3,0,0,63.24,63.24,0
69,73213,2,0,0,65.24,65.24,0
41,39615,4,0,0,61.54,61.54,0
82,81013,2,0,0,61.28,61.28,0
0,26412,0,0,0,40.81,40.81,0
38,1814,1,0,0,48.17,49.59,0
30,35417,6,1,0,57.73,57.73,0
53,54022,3,0,0,61.72,61.72,0
37,31217,2,0,0,54.41,54.41,0
61,56413,0,0,0,84.01,84.01,1
0,19816,0,0,0,51.49,51.49,1
1,85813,6,1,0,41.94,44.49,0
62,81612,2,0,0,60.28,60.28,0
63,72019,6,1,0,51,51,1
23,3016,2,0,0,53.51,53.51,0
72,60013,1,0,0,60.89,60.89,0
60,52813,5,1,0,72.92,72.92,1
0,1212,4,0,0,45.4,49.51,0
1,85814,5,1,0,57.53,57.53,0
47,1212,2,0,0,72.3,72.3,0
0,1238,0,0,0,52.24,52.24,0
30,27012,4,0,0,69.27,69.27,1
0,85813,4,0,0,63.07,63.07,0
69,84613,0,0,0,53.51,53.51,0
1,85813,4,0,0,56.53,56.53,0
